mir,mesh_name,causality,,
hsa-mir-15a,Leukemia,yes,972,1385
hsa-mir-15a,"Leukemia, Lymphocytic, Chronic, B-Cell",yes,972,1401
hsa-mir-16-1,Leukemia,yes,975,1385
hsa-mir-16-1,"Leukemia, Lymphocytic, Chronic, B-Cell",yes,975,1401
hsa-mir-125b-1,Breast Neoplasms,yes,915,1303
hsa-mir-125b-1,Lung Neoplasms,yes,915,1308
hsa-mir-125b-1,Ovarian Neoplasms,yes,915,1309
hsa-mir-125b-1,Urinary Bladder Neoplasms,yes,915,1306
hsa-mir-17,"Carcinoma, Hepatocellular",yes,977,1310
hsa-mir-18a,"Carcinoma, Hepatocellular",yes,994,1310
hsa-mir-19a,"Carcinoma, Hepatocellular",yes,1017,1310
hsa-mir-19b-1,"Carcinoma, Hepatocellular",yes,1019,1310
hsa-mir-20a,"Carcinoma, Hepatocellular",yes,1034,1310
hsa-mir-125b-1,Precursor B-Cell Lymphoblastic Leukemia-Lymphoma,yes,915,1551
hsa-mir-15a,Lymphoma,yes,972,1417
hsa-mir-16-1,Lymphoma,yes,975,1417
hsa-mir-125b-1,"Leukemia, B-Cell",yes,915,1552
hsa-mir-142,"Leukemia, B-Cell",yes,956,1552
hsa-mir-15a,"Leukemia, B-Cell",yes,972,1552
hsa-mir-15a,Pituitary Neoplasms,yes,972,1369
hsa-mir-16-1,"Leukemia, B-Cell",yes,975,1552
hsa-mir-16-1,Pituitary Neoplasms,yes,975,1369
hsa-mir-17,Breast Neoplasms,yes,977,1303
hsa-mir-92a-1,Hematologic Neoplasms,yes,1283,1372
hsa-mir-15a,Breast Neoplasms,yes,972,1303
hsa-mir-16-1,Ovarian Neoplasms,yes,975,1309
hsa-mir-199a-1,"Carcinoma, Hepatocellular",yes,1014,1310
hsa-mir-15b,"Leukemia, Lymphocytic, Chronic, B-Cell",yes,973,1401
hsa-mir-16-2,"Leukemia, Lymphocytic, Chronic, B-Cell",yes,976,1401
hsa-mir-181b-2,Urinary Bladder Neoplasms,yes,984,1306
hsa-mir-199b,Urinary Bladder Neoplasms,yes,1016,1306
hsa-mir-15a,"Lymphoma, Mantle-Cell",yes,972,1430
hsa-mir-15a,Multiple Myeloma,yes,972,1368
hsa-mir-15a,Prostatic Neoplasms,yes,972,1339
hsa-mir-16-1,"Lymphoma, Mantle-Cell",yes,975,1430
hsa-mir-16-1,Multiple Myeloma,yes,975,1368
hsa-mir-16-1,Prostatic Neoplasms,yes,975,1339
hsa-mir-29a,Alzheimer Disease,yes,1074,1342
hsa-mir-29b-1,Alzheimer Disease,yes,1076,1342
hsa-mir-1-1,"Carcinoma, Hepatocellular",yes,876,1310
hsa-mir-1-2,"Carcinoma, Hepatocellular",yes,877,1310
hsa-mir-34a,Neoplasms,yes,1126,1299
hsa-mir-101-1,Neoplasms,yes,880,1299
hsa-mir-101-2,Neoplasms,yes,881,1299
hsa-mir-31,Neoplasms,yes,1096,1299
hsa-mir-31,Ovarian Neoplasms,yes,1096,1309
hsa-mir-143,Neoplasms,yes,957,1299
hsa-mir-145,Neoplasms,yes,959,1299
hsa-mir-301a,Lung Neoplasms,yes,1081,1308
hsa-mir-29a,"Leukemia, Myeloid, Acute",yes,1074,1366
hsa-mir-29b-1,"Leukemia, Myeloid, Acute",yes,1076,1366
hsa-mir-107,Urinary Bladder Neoplasms,yes,891,1306
hsa-mir-486,Stomach Neoplasms,yes,1177,1307
hsa-mir-218-1,Urinary Bladder Neoplasms,yes,1047,1306
hsa-mir-218-2,Urinary Bladder Neoplasms,yes,1048,1306
hsa-mir-1-1,Myotonic Dystrophy,yes,876,1553
hsa-mir-1-2,Myotonic Dystrophy,yes,877,1553
hsa-mir-135a-1,Medulloblastoma,yes,945,1367
hsa-mir-135a-2,Medulloblastoma,yes,946,1367
hsa-mir-135b,Medulloblastoma,yes,947,1367
hsa-mir-186,Medulloblastoma,yes,991,1367
hsa-mir-33b,Medulloblastoma,yes,1120,1367
hsa-mir-132,"Supranuclear Palsy, Progressive",yes,936,1554
hsa-mir-101-1,Lung Neoplasms,yes,880,1308
hsa-mir-101-2,Lung Neoplasms,yes,881,1308
hsa-mir-145,Myelodysplastic Syndromes,yes,959,1505
hsa-mir-17,Musculoskeletal Abnormalities,yes,977,1555
hsa-mir-18a,Musculoskeletal Abnormalities,yes,994,1555
hsa-mir-19a,Musculoskeletal Abnormalities,yes,1017,1555
hsa-mir-19b-1,Musculoskeletal Abnormalities,yes,1019,1555
hsa-mir-20a,Musculoskeletal Abnormalities,yes,1034,1555
hsa-mir-92a-1,Musculoskeletal Abnormalities,yes,1283,1555
hsa-mir-21,Hypertension,yes,1036,1383
hsa-mir-101-1,Pancreatic Neoplasms,yes,880,1315
hsa-mir-101-2,Pancreatic Neoplasms,yes,881,1315
hsa-mir-101-1,"Carcinoma, Non-Small-Cell Lung",yes,880,1312
hsa-mir-101-2,"Carcinoma, Non-Small-Cell Lung",yes,881,1312
hsa-mir-144,Thyroid Neoplasms,yes,958,1330
hsa-mir-199b,Thyroid Neoplasms,yes,1016,1330
hsa-mir-29a,Kidney Diseases,yes,1074,1518
hsa-mir-29b-1,Kidney Diseases,yes,1076,1518
hsa-mir-29b-2,Kidney Diseases,yes,1077,1518
hsa-mir-29c,Kidney Diseases,yes,1078,1518
hsa-mir-122,Hepatitis B,yes,899,1556
hsa-mir-34a,"Arthritis, Rheumatoid",yes,1126,1423
hsa-mir-124-1,Glioma,yes,904,1322
hsa-mir-124-2,Glioma,yes,905,1322
hsa-mir-124-3,Glioma,yes,906,1322
hsa-mir-145,Ovarian Neoplasms,yes,959,1309
hsa-mir-133a-1,Breast Neoplasms,yes,939,1303
hsa-mir-133a-2,Breast Neoplasms,yes,940,1303
hsa-mir-29a,"Muscular Dystrophy, Duchenne",yes,1074,1408
hsa-mir-29b-1,"Muscular Dystrophy, Duchenne",yes,1076,1408
hsa-mir-29b-2,"Muscular Dystrophy, Duchenne",yes,1077,1408
hsa-mir-29c,"Muscular Dystrophy, Duchenne",yes,1078,1408
hsa-mir-101-1,Stomach Neoplasms,yes,880,1307
hsa-let-7c,Prostatic Neoplasms,yes,867,1339
hsa-mir-205,Melanoma,yes,1029,1347
hsa-let-7g,Melanoma,yes,873,1347
hsa-mir-126,Pancreatic Neoplasms,yes,917,1315
hsa-mir-148a,Endometrial Neoplasms,yes,962,1362
hsa-mir-218-1,Breast Neoplasms,yes,1047,1303
hsa-mir-218-2,Breast Neoplasms,yes,1048,1303
hsa-mir-101-1,Colonic Neoplasms,yes,880,1336
hsa-mir-200a,Melanoma,yes,1022,1347
hsa-mir-200c,Melanoma,yes,1024,1347
hsa-mir-203,Melanoma,yes,1026,1347
hsa-mir-370,Cholangiocarcinoma,yes,1135,1326
hsa-mir-126,Heart Diseases,yes,917,1321
hsa-mir-130a,Heart Diseases,yes,934,1321
hsa-mir-204,Glioma,yes,1028,1322
hsa-mir-132,Osteosarcoma,yes,936,1305
hsa-let-7,Prostatic Neoplasms,yes,861,1339
hsa-mir-21,Reperfusion Injury,yes,1036,1557
hsa-mir-10a,Neoplasms,yes,892,1299
hsa-mir-200a,Breast Neoplasms,yes,1022,1303
hsa-mir-126,Prostatic Neoplasms,yes,917,1339
hsa-mir-223,Sepsis,yes,1053,1558
hsa-mir-206,Amyotrophic Lateral Sclerosis,yes,1030,1485
hsa-mir-145,"Carcinoma, Hepatocellular",yes,959,1310
hsa-mir-21,"Hypertension, Pulmonary",yes,1036,1559
hsa-mir-424,Hepatoblastoma,yes,1158,1402
hsa-mir-100,Prostatic Neoplasms,yes,878,1339
hsa-mir-17,Atrial Fibrillation,yes,977,1560
hsa-mir-18,Atrial Fibrillation,yes,978,1560
hsa-mir-19a,Atrial Fibrillation,yes,1017,1560
hsa-mir-19b-1,Atrial Fibrillation,yes,1019,1560
hsa-mir-20a,Atrial Fibrillation,yes,1034,1560
hsa-mir-92-1,Atrial Fibrillation,yes,1280,1560
hsa-mir-203,Prostatic Neoplasms,yes,1026,1339
hsa-mir-155,Melanoma,yes,971,1347
hsa-mir-378,Prostatic Neoplasms,yes,1145,1339
hsa-mir-100,"Carcinoma, Hepatocellular",yes,878,1310
hsa-mir-101,Esophageal Neoplasms,yes,879,1351
hsa-mir-101,Lung Neoplasms,yes,879,1308
hsa-mir-34a,Prostatic Neoplasms,yes,1126,1339
hsa-mir-34a,Diabetes Mellitus,yes,1126,1379
hsa-mir-7,Breast Neoplasms,yes,1261,1303
hsa-mir-204,Prostatic Neoplasms,yes,1028,1339
hsa-mir-26a,Neoplasms,yes,1062,1299
hsa-mir-26b,Neoplasms,yes,1065,1299
hsa-mir-1,Prostatic Neoplasms,yes,875,1339
hsa-mir-23a,Familial Primary Pulmonary Hypertension,yes,1055,1498
hsa-mir-150,Heart Diseases,yes,965,1321
hsa-mir-150,Myocardial Infarction,yes,965,1388
hsa-mir-155,"Lymphoma, B-Cell",yes,971,1429
hsa-mir-21,Acute Kidney Injury,yes,1036,1561
hsa-mir-155,Tuberculosis,yes,971,1562
hsa-mir-377,Lymphoma,yes,1144,1417
hsa-mir-142,Immunologic Deficiency Syndromes,yes,956,1563
hsa-mir-132,Inflammation,yes,936,1564
hsa-mir-205,Prostatic Neoplasms,yes,1029,1339
hsa-mir-133a,Heart Diseases,yes,938,1321
hsa-mir-133a,Hypertrophy,yes,938,1565
hsa-mir-21,"Carcinoma, Hepatocellular",yes,1036,1310
hsa-mir-622,Colorectal Neoplasms,yes,1240,1304
hsa-mir-214,Parkinson Disease,yes,1040,1455
hsa-mir-195,Uterine Cervical Neoplasms,yes,1005,1300
