lncRNA ,disease,lncRNA ,disease,yucelabel,0_gailv,1_gailv,,PMID
463,1303,AWPPH,Breast Neoplasms,1,0.002549946,0.997450054,,PMID:?30333256?
531,1303,HOST2,Breast Neoplasms,1,0.002782464,0.997217536,,PMID:?30483747
414,1303,PCAT6,Breast Neoplasms,1,0.003089249,0.996910751,,PMID:?32308433
173,1303,HEIH,Breast Neoplasms,1,0.003805161,0.996194839,,PMID:?31526439
70,1303,CASC11,Breast Neoplasms,1,0.00468117,0.99531883,,
787,1303,SOX21-AS1,Breast Neoplasms,1,0.004805267,0.995194733,,
491,1303,DCST1-AS1,Breast Neoplasms,1,0.005688429,0.994311571,,
134,1303,FER1L4,Breast Neoplasms,1,0.005849302,0.994150698,,
418,1303,PCNA-AS1,Breast Neoplasms,1,0.006256402,0.993743598,,
484,1303,CCHE1,Breast Neoplasms,1,0.006926417,0.993073583,,
705,1303,PAPAS,Breast Neoplasms,1,0.007378459,0.992621541,,
373,1303,MIR503HG,Breast Neoplasms,1,0.007485569,0.992514431,,
492,1303,DDX11-AS1,Breast Neoplasms,1,0.008402526,0.991597474,,
151,1303,GAPLINC,Breast Neoplasms,1,0.008564293,0.991435707,,
116,1303,EGFR-AS1,Breast Neoplasms,1,0.008967936,0.991032064,,
463,1304,AWPPH,Colorectal Neoplasms,1,0.002908587,0.997091413,,PMID:?31611981
134,1304,FER1L4,Colorectal Neoplasms,1,0.003041148,0.996958852,,
49,1304,AOC4P,Colorectal Neoplasms,1,0.00320822,0.99679178,,PMID:?30288061
468,1304,BC200,Colorectal Neoplasms,1,0.003261626,0.996738374,,PMID:?30590906
531,1304,HOST2,Colorectal Neoplasms,1,0.00353539,0.99646461,,
733,1304,RHPN1-AS1,Colorectal Neoplasms,1,0.003948987,0.996051013,,
701,1304,OR3A4,Colorectal Neoplasms,1,0.004269421,0.995730579,,
811,1304,TP53TG1,Colorectal Neoplasms,1,0.004270256,0.995729744,,
380,1304,MT1JP,Colorectal Neoplasms,1,0.004430234,0.995569766,,
806,1304,THOR,Colorectal Neoplasms,1,0.00462079,0.99537921,,
418,1304,PCNA-AS1,Colorectal Neoplasms,1,0.004623294,0.995376706,,
272,1304,LINC00668,Colorectal Neoplasms,1,0.004883289,0.995116711,,
119,1304,EGOT,Colorectal Neoplasms,1,0.005283296,0.994716704,,
768,1304,snaR,Colorectal Neoplasms,1,0.005299091,0.994700909,,
732,1304,RGMB-AS1,Colorectal Neoplasms,1,0.005355716,0.994644284,,
130,1305,FAM83H-AS1,Osteosarcoma,1,0.00386411,0.99613589,,
377,1305,MNX1-AS1,Osteosarcoma,1,0.003998816,0.996001184,,
63,1305,BLACAT1,Osteosarcoma,1,0.004462957,0.995537043,,
807,1305,TINCR,Osteosarcoma,1,0.006276309,0.993723691,,
150,1305,GACAT3,Osteosarcoma,1,0.006634653,0.993365347,,
733,1305,RHPN1-AS1,Osteosarcoma,1,0.008276165,0.991723835,,
418,1305,PCNA-AS1,Osteosarcoma,1,0.009415627,0.990584373,,
250,1305,LINC-ROR,Osteosarcoma,1,0.010367513,0.989632487,,
300,1305,LINC01296,Osteosarcoma,1,0.010501623,0.989498377,,
788,1305,SOX2OT,Osteosarcoma,1,0.010849357,0.989150643,,
659,1305,LOC285194,Osteosarcoma,1,0.010951817,0.989048183,,
49,1305,AOC4P,Osteosarcoma,1,0.01153028,0.98846972,,
799,1305,SUMO1P3,Osteosarcoma,1,0.012148559,0.987851441,,
818,1305,TRPM2-AS,Osteosarcoma,1,0.013323426,0.986676574,,
852,1305,ZEB2-AS1,Osteosarcoma,1,0.013462782,0.986537218,,
134,1306,FER1L4,Urinary Bladder Neoplasms,1,0.005122602,0.994877398,,
484,1306,CCHE1,Urinary Bladder Neoplasms,1,0.006787539,0.993212461,,
733,1306,RHPN1-AS1,Urinary Bladder Neoplasms,1,0.006874204,0.993125796,,
456,1306,ANCR,Urinary Bladder Neoplasms,1,0.0074386,0.9925614,,
135,1306,FEZF1-AS1,Urinary Bladder Neoplasms,1,0.007542253,0.992457747,,
33,1306,ADAMTS9-AS2,Urinary Bladder Neoplasms,1,0.007750511,0.992249489,,
150,1306,GACAT3,Urinary Bladder Neoplasms,1,0.008154452,0.991845548,,
53,1306,ATB,Urinary Bladder Neoplasms,1,0.008243024,0.991756976,,
518,1306,GIHCG,Urinary Bladder Neoplasms,1,0.008406758,0.991593242,,
36,1306,AGAP2-AS1,Urinary Bladder Neoplasms,1,0.008516967,0.991483033,,
659,1306,LOC285194,Urinary Bladder Neoplasms,1,0.008524179,0.991475821,,
119,1306,EGOT,Urinary Bladder Neoplasms,1,0.008574486,0.991425514,,
166,1306,HAND2-AS1,Urinary Bladder Neoplasms,1,0.00877583,0.99122417,,
353,1306,LUCAT1,Urinary Bladder Neoplasms,1,0.00901401,0.99098599,,
468,1306,BC200,Urinary Bladder Neoplasms,1,0.009063065,0.990936935,,
468,1307,BC200,Stomach Neoplasms,1,0.004154265,0.995845735,,
759,1307,SBF2-AS1,Stomach Neoplasms,1,0.004430354,0.995569646,,
114,1307,DUXAP10,Stomach Neoplasms,1,0.004827559,0.995172441,,
53,1307,ATB,Stomach Neoplasms,1,0.005398154,0.994601846,,
688,1307,MYCLo-6,Stomach Neoplasms,1,0.006280422,0.993719578,,
720,1307,PlncRNA-1,Stomach Neoplasms,1,0.006599903,0.993400097,,
787,1307,SOX21-AS1,Stomach Neoplasms,1,0.006602168,0.993397832,,
687,1307,MYCLo-5,Stomach Neoplasms,1,0.006692588,0.993307412,,
263,1307,LINC00461,Stomach Neoplasms,1,0.006849349,0.993150651,,
708,1307,PART1,Stomach Neoplasms,1,0.00694567,0.99305433,,
173,1307,HEIH,Stomach Neoplasms,1,0.00697881,0.99302119,,
330,1307,lncTCF7,Stomach Neoplasms,1,0.007289052,0.992710948,,
522,1307,HANR,Stomach Neoplasms,1,0.007289052,0.992710948,,
